Date,USD_Price,GBP_Price,CAD_Price,AUD_Price
2003-09-28,45.353,76.7254,34.2841,31.9935
2003-09-29,45.342,76.75826666666667,34.30406666666667,32.028
2003-09-30,45.331,76.79113333333333,34.32403333333333,32.0625
2003-10-01,45.32,76.824,34.344,32.097
2003-10-02,45.33451612903226,76.88883870967742,34.372,32.13093548387097
2003-10-03,45.34903225806452,76.95367741935483,34.4,32.16487096774193
2003-10-04,45.36354838709678,77.01851612903225,34.428000000000004,32.1988064516129
2003-10-05,45.37806451612903,77.08335483870968,34.456,32.23274193548387
2003-10-06,45.39258064516129,77.1481935483871,34.484,32.26667741935484
2003-10-07,45.40709677419355,77.21303225806452,34.512,32.300612903225804
2003-10-08,45.42161290322581,77.27787096774193,34.54,32.334548387096774
2003-10-09,45.436129032258066,77.34270967741935,34.568000000000005,32.368483870967744
2003-10-10,45.450645161290325,77.40754838709677,34.596000000000004,32.40241935483871
2003-10-11,45.465161290322584,77.4723870967742,34.624,32.436354838709676
2003-10-12,45.47967741935484,77.53722580645162,34.652,32.470290322580645
2003-10-13,45.494193548387095,77.60206451612903,34.68,32.504225806451615
2003-10-14,45.508709677419354,77.66690322580645,34.708000000000006,32.538161290322584
2003-10-15,45.52322580645161,77.73174193548387,34.736000000000004,32.57209677419355
2003-10-16,45.53774193548387,77.79658064516128,34.764,32.606032258064516
2003-10-17,45.55225806451613,77.86141935483872,34.792,32.639967741935486
2003-10-18,45.56677419354839,77.92625806451613,34.82,32.673903225806455
2003-10-19,45.58129032258065,77.99109677419355,34.848,32.70783870967742
2003-10-20,45.59580645161291,78.05593548387097,34.876000000000005,32.74177419354839
2003-10-21,45.61032258064516,78.12077419354839,34.904,32.77570967741936
2003-10-22,45.62483870967742,78.1856129032258,34.932,32.80964516129033
2003-10-23,45.63935483870968,78.25045161290323,34.96,32.84358064516129
2003-10-24,45.65387096774194,78.31529032258065,34.988,32.87751612903226
2003-10-25,45.6683870967742,78.38012903225807,35.016000000000005,32.91145161290323
2003-10-26,45.682903225806456,78.44496774193549,35.044000000000004,32.9453870967742
2003-10-27,45.697419354838715,78.5098064516129,35.072,32.97932258064516
2003-10-28,45.711935483870974,78.57464516129032,35.1,33.01325806451613
2003-10-29,45.726451612903226,78.63948387096775,35.128,33.0471935483871
2003-10-30,45.740967741935485,78.70432258064517,35.156000000000006,33.08112903225807
2003-10-31,45.755483870967744,78.76916129032259,35.184000000000005,33.11506451612903
2003-11-01,45.77,78.834,35.212,33.149
2003-11-02,45.76516666666667,78.92186666666667,35.2109,33.187466666666666
2003-11-03,45.760333333333335,79.00973333333333,35.2098,33.22593333333334
2003-11-04,45.755500000000005,79.0976,35.2087,33.2644
2003-11-05,45.75066666666667,79.18546666666667,35.207600000000006,33.30286666666667
2003-11-06,45.74583333333334,79.27333333333334,35.206500000000005,33.34133333333333
2003-11-07,45.741,79.3612,35.205400000000004,33.3798
2003-11-08,45.73616666666667,79.44906666666667,35.2043,33.41826666666667
2003-11-09,45.73133333333334,79.53693333333334,35.2032,33.45673333333333
2003-11-10,45.7265,79.62480000000001,35.2021,33.4952
2003-11-11,45.72166666666667,79.71266666666666,35.201,33.53366666666667
2003-11-12,45.716833333333334,79.80053333333333,35.1999,33.57213333333333
2003-11-13,45.712,79.8884,35.198800000000006,33.6106
2003-11-14,45.707166666666666,79.97626666666667,35.197700000000005,33.64906666666666
2003-11-15,45.702333333333335,80.06413333333333,35.196600000000004,33.687533333333334
2003-11-16,45.697500000000005,80.152,35.1955,33.726
2003-11-17,45.69266666666667,80.23986666666667,35.1944,33.764466666666664
2003-11-18,45.68783333333334,80.32773333333333,35.1933,33.802933333333335
2003-11-19,45.683,80.4156,35.1922,33.8414
2003-11-20,45.67816666666667,80.50346666666667,35.191100000000006,33.879866666666665
2003-11-21,45.67333333333333,80.59133333333334,35.190000000000005,33.91833333333333
2003-11-22,45.6685,80.6792,35.188900000000004,33.9568
2003-11-23,45.663666666666664,80.76706666666666,35.1878,33.995266666666666
2003-11-24,45.658833333333334,80.85493333333334,35.1867,34.03373333333333
2003-11-25,45.654,80.9428,35.1856,34.072199999999995
